st_zip,ed_zip,distance
10003,11420,24298
10003,11421,17953
10003,11422,30796
10003,11423,23434
10003,11426,26399
10003,11427,24266
10003,11428,25074
10003,11429,26526
10003,11432,21819
10003,11433,22757
10003,11434,26227
10003,11435,20759
10003,11436,23915
10003,11691,36225
10003,11692,46847
10003,11693,27024
10003,11694,42604
10004,10001,5161
10004,10002,2774
10004,10003,3331
10004,10004,0
10004,10005,1519
10004,10006,1909
10004,10007,531
10004,10009,5386
10004,10010,6704
10004,10011,3512
10004,10012,1986
10004,10013,965
10004,10014,2461
10004,10016,8097
10004,10017,8187
10004,10018,5910
10004,10019,7119
10004,10021,10554
10004,10022,9172
10004,10023,8114
10004,10024,9688
10004,10025,11216
10004,10026,15394
10004,10027,13816
10004,10028,13501
10004,10029,13536
10004,10030,17226
10004,10031,20121
10004,10032,17491
10004,10033,20547
10004,10034,22391
10004,10035,16025
10004,10036,6189
10004,10037,16399
10004,10038,4809
10004,10039,18825
10004,10040,22499
10004,10044,13450
10004,10065,10139
10004,10069,8232
10004,10075,0
10004,10128,13414
10004,10280,1479
10004,10282,1048
10004,10301,23286
10004,10302,27721
10004,10303,28209
10004,10304,19708
10004,10305,18812
10004,10306,27336
10004,10307,43757
10004,10308,31310
10004,10309,38999
10004,10310,23108
10004,10312,37089
10004,10314,25885
10004,10451,18048
10004,10452,19709
10004,10453,22784
10004,10454,16494
10004,10455,18745
10004,10456,19581
10004,10457,23165
10004,10458,28458
10004,10459,21621
10004,10460,22535
10004,10461,26802
10004,10462,24862
10004,10463,24808
10004,10464,32571
10004,10465,26029
10004,10466,30158
10004,10467,27117
10004,10468,23768
10004,10469,30860
10004,10471,24289
10004,10472,22432
10004,10473,22604
10004,10474,21462
10004,10475,30481
10004,11101,11297
10004,11102,20015
10004,11103,17529
10004,11104,12561
10004,11105,17730
10004,11106,14053
10004,11201,3461
10004,11203,13847
10004,11204,13900
10004,11205,4869
10004,11206,6883
10004,11207,12367
10004,11208,13917
10004,11209,13832
10004,11210,14305
10004,11211,6582
10004,11212,11531
10004,11213,9202
10004,11214,19851
10004,11215,7789
10004,11216,7388
10004,11217,5025
10004,11218,10207
10004,11219,11949
10004,11220,12066
10004,11221,8571
10004,11222,9304
10004,11223,15769
10004,11224,21480
10004,11225,8210
10004,11226,11834
10004,11228,14238
10004,11229,16882
10004,11230,12793
10004,11231,6331
10004,11232,9640
10004,11233,9795
10004,11234,31782
10004,11235,23349
10004,11236,35288
10004,11237,12020
10004,11238,6145
10004,11239,35335
10004,11354,23104
10004,11355,20866
10004,11356,24958
10004,11357,26153
10004,11358,24853
10004,11360,29492
10004,11361,27313
10004,11362,28220
10004,11363,29680
10004,11364,25971
10004,11365,22426
10004,11367,21873
10004,11368,18470
10004,11369,17758
10004,11370,15906
10004,11372,15243
10004,11373,14905
10004,11374,16207
10004,11375,17571
10004,11377,12984
10004,11378,12741
10004,11379,14955
10004,11385,15085
10004,11411,35275
10004,11412,28020
10004,11413,32042
10004,11414,39149
10004,11415,22997
10004,11416,21496
10004,11417,21873
10004,11418,20645
10004,11419,25660
10004,11420,27246
10004,11421,20902
10004,11422,33745
10004,11423,26383
10004,11426,29348
10004,11427,27214
10004,11428,28023
10004,11429,29474
10004,11432,24767
10004,11433,25706
10004,11434,29176
10004,11435,23708
10004,11436,26864
10004,11691,43527
10004,11692,40183
10004,11693,45041
10004,11694,35941
10005,10001,7379
10005,10002,2656
10005,10003,3536
10005,10004,2166
10005,10005,0
10005,10006,2283
10005,10007,1539
10005,10009,5077
10005,10010,6396
10005,10011,6155
10005,10012,3162
10005,10013,2267
10005,10014,5086
10005,10016,7789
10005,10017,7879
10005,10018,8128
10005,10019,9337
10005,10021,10245
10005,10022,8863
10005,10023,12091
10005,10024,15822
10005,10025,14865
10005,10026,15085
10005,10027,18406
10005,10028,13193
10005,10029,13228
10005,10030,16918
10005,10031,19813
10005,10032,22370
10005,10033,20238
10005,10034,22082
10005,10035,15717
10005,10036,8407
10005,10037,16090
10005,10038,5489
10005,10039,18517
10005,10040,22190
10005,10044,13141
10005,10065,9831
10005,10069,12625
10005,10075,2166
10005,10128,13106
10005,10280,2454
10005,10282,2971
10005,10301,23322
10005,10302,27756
10005,10303,28245
10005,10304,19744
10005,10305,18848
10005,10306,27372
10005,10307,43793
10005,10308,31346
10005,10309,39035
10005,10310,23144
10005,10312,37125
10005,10314,25921
10005,10451,17739
10005,10452,19400
10005,10453,22475
10005,10454,16186
10005,10455,18436
10005,10456,19272
10005,10457,22857
10005,10458,28150
10005,10459,21313
10005,10460,22227
10005,10461,26494
10005,10462,24554
10005,10463,24500
10005,10464,32263
10005,10465,25721
10005,10466,29850
10005,10467,26809
10005,10468,23460
10005,10469,30552
10005,10471,29637
10005,10472,22123
10005,10473,22295
10005,10474,21154
10005,10475,30173
10005,11101,10989
10005,11102,19707
10005,11103,14754
10005,11104,12216
10005,11105,20193
10005,11106,13744
10005,11201,4140
10005,11203,13883
10005,11204,13936
10005,11205,5549
10005,11206,7563
10005,11207,13047
10005,11208,14597
10005,11209,13868
10005,11210,14341
10005,11211,5703
10005,11212,12210
10005,11213,9882
10005,11214,19887
10005,11215,7825
10005,11216,8067
10005,11217,5705
10005,11218,10243
10005,11219,11985
10005,11220,12102
10005,11221,9250
10005,11222,9983
10005,11223,15805
10005,11224,21516
10005,11225,8889
10005,11226,11870
10005,11228,14273
10005,11229,16918
10005,11230,12829
10005,11231,6367
10005,11232,9676
10005,11233,10474
10005,11234,31817
10005,11235,23385
10005,11236,35324
10005,11237,12700
10005,11238,6825
10005,11239,35371
10005,11354,23783
10005,11355,22448
10005,11356,25638
10005,11357,26832
10005,11358,26435
10005,11360,33192
10005,11361,28894
10005,11362,29802
10005,11363,31261
10005,11364,27552
10005,11365,24008
10005,11367,23455
10005,11368,20052
10005,11369,18438
10005,11370,16586
10005,11372,15922
10005,11373,15585
10005,11374,17789
10005,11375,19153
10005,11377,13664
10005,11378,13421
10005,11379,15634
10005,11385,15764
10005,11411,36857
10005,11412,29602
10005,11413,45818
10005,11414,39185
10005,11415,24578
10005,11416,23078
10005,11417,23455
10005,11418,22226
10005,11419,27242
10005,11420,28828
10005,11421,22484
10005,11422,47521
10005,11423,27964
10005,11426,30929
10005,11427,28796
10005,11428,29604
10005,11429,31056
10005,11432,26349
10005,11433,27287
10005,11434,30757
10005,11435,25290
10005,11436,28446
10005,11691,43563
10005,11692,40219
10005,11693,45077
10005,11694,35977
10006,10001,5912
10006,10002,3207
