,from,to,cost
253,1,84,9.3808688711826
254,1,85,7.057581815557149
255,1,86,2.364453399733325
256,1,87,8.45840512980874
257,1,88,10.806377691510658
258,1,89,3.0968091456797797
259,1,90,4.037961913786887
260,1,91,9.34694282434769
261,1,92,10.571663929843863
262,1,93,10.633995081200794
263,1,94,10.274707997725827
264,1,95,2.727753975511885
265,1,96,8.51671874106631
266,1,97,6.6164018716799955
267,1,98,12.638426279306225
268,1,99,5.379583437607394
269,1,100,5.116078885418412
270,1,101,3.7904851395366514
271,1,102,8.14663188574227
272,1,103,9.088617781053689
273,1,104,8.497763783633578
274,1,105,5.776844189386244
275,1,106,3.468336882875644
276,1,107,13.075048271344402
277,1,108,15.380133279880107
278,1,109,6.45663129222643
279,1,110,8.03734262041045
280,1,111,11.05468502353898
281,1,112,13.11865502988453
282,1,113,10.471516700796734
283,1,114,4.140714631484294
284,1,115,7.107773467704144
285,1,116,6.9559830986214894
286,1,117,11.819178155839596
287,1,118,14.86300761900645
288,1,119,10.952771919687475
289,1,120,6.109102854740319
290,1,121,4.476387412452845
291,1,122,11.495564906201482
292,1,123,14.954984487105556
293,1,124,14.583691476666559
294,1,125,14.358918972827295
295,1,126,16.925803210798925
296,1,127,16.894642850964903
297,1,128,18.89597473112601
298,1,129,18.76483487814099
299,1,130,22.092502630672726
300,1,131,21.42126507292607
301,1,132,19.578591335547767
302,1,133,16.456978435916795
303,1,134,14.281823973803721
304,1,135,11.204995628787705
305,1,136,10.890602575136475
306,1,137,9.584961095245525
307,1,138,9.7105026987198
308,1,139,9.560560567723359
309,1,140,10.862752744035644
310,1,141,11.893372513749323
311,1,142,7.5856697055901865
312,1,143,7.497695323439145
313,1,144,9.17066880911889
314,1,145,7.846985971477992
315,1,146,21.27480534766167
316,1,147,19.220047250030646
317,1,148,20.386512178931646
318,1,149,13.681841275314987
319,1,150,13.383018486846282
320,1,151,12.035719160645467
321,1,152,12.80494965751007
322,1,153,13.083391061158887
323,1,154,14.272299901196682
324,1,155,14.96139022118483
325,1,156,11.236803233271626
326,1,157,22.135186390353145
327,1,158,18.589650564289283
328,1,159,22.467494900208557
329,1,160,20.22351646065431
330,1,161,20.6593840152895
331,1,162,20.933571142507024
332,1,163,16.337643973600542
333,1,164,17.023300997960277
334,1,165,18.392610084307517
335,1,166,14.985793574186026
336,1,167,16.719612101283836
337,1,168,23.222796421415435
338,1,169,21.36753446443124
339,1,170,18.557047413765304
340,1,171,19.67487846906331
341,2,3,2.361887768524926
342,2,4,3.2786214413642707
343,2,5,3.2597285089902353
344,2,6,2.448507138666116
345,2,7,0.9891770325555842
346,2,8,0.9588344338708276
347,2,9,1.3223280906279784
348,2,10,1.0029160568882651
349,2,11,1.811905609127459
350,2,12,1.3986101270649443
